id_pengirim,order_pesanan,pengiriman_pesanan,jarak_pengiriman,status
2174658,68413340,8378,5199,Delivered
2174660,68414309,2473,410,Delivered
2174661,68416230,7615,3784,Delivered
2174663,68412721,8378,5714,Delivered
2174675,68414018,10463,3746,Delivered
2174680,68415103,16430,3924,Delivered
2174693,68416643,14513,2489,Delivered
2174695,68417783,0,2564,Cancelled
2174696,68415457,9996,340,Delivered
2174697,68414563,23092,1081,Delivered
2174699,68415140,9996,2880,Delivered
2174705,68416059,9996,1450,Delivered
2174707,68417307,25575,1699,Delivered
2174708,68416059,9996,1450,Delivered
2174712,68415947,9392,5951,Delivered
2174845,68424547,0,2100,Cancelled
2174883,68427057,0,2995,Cancelled
2175046,68435678,0,3958,Cancelled
2175468,68437922,0,5460,Cancelled
2175469,68452051,9211,1270,Delivered
2175473,68448483,29077,3811,Delivered
2175476,68452052,726,335,Delivered
2175477,68451584,26442,3533,Delivered
2175480,68448693,512,3287,Delivered
2175483,68445800,22499,1447,Delivered
2175485,68444850,1113,451,Delivered
2175489,68457422,0,530,Cancelled
2175562,68460384,0,5574,Cancelled
2175600,68460544,0,2769,Cancelled
2175643,68463805,0,694,Cancelled
2175776,68445199,0,4234,Cancelled
2175957,68475205,0,2135,Cancelled
2175961,68462957,16430,4948,Delivered
2175965,68453600,0,4808,Cancelled
2175966,68473759,8266,2878,Delivered
2176046,68454488,0,3771,Cancelled
2176076,68463065,0,3121,Cancelled
2176079,68454515,11263,4259,Delivered
2176082,68474853,357,3653,Delivered
2176086,68464291,8378,4602,Delivered
2176088,68480496,9043,3240,Delivered
2176089,68479787,5052,2084,Delivered
2176091,68475736,6656,4026,Delivered
2176096,68461637,11263,722,Delivered
2176097,68468523,25651,2868,Delivered
2176098,68455763,0,2849,Cancelled
2176099,68461215,15061,2884,Delivered
2176101,68460278,11869,4718,Delivered
2176102,68479078,6974,1564,Delivered
2176103,68461004,15061,3975,Delivered
2176104,68481257,28169,400,Delivered
2176105,68482225,7655,1211,Delivered
2176106,68471785,23092,1185,Delivered
2176109,68483068,0,1047,Cancelled
2176115,68465137,0,1555,Cancelled
2176130,68464984,0,1066,Cancelled
2176132,68482005,23399,2688,Delivered
2176133,68479592,888,2582,Delivered
2176139,68475405,0,4207,Cancelled
2176214,68465031,0,1680,Cancelled
2176216,68473855,19215,1084,Delivered
2176227,68444591,26879,4348,Delivered
2176230,68484842,358,3462,Delivered
2176231,68486448,25651,2150,Delivered
2176276,68466804,0,2261,Cancelled
2176281,68487049,29815,1519,Delivered
2176284,68488118,430,245,Delivered
2176285,68491371,14382,2728,Delivered
2176291,68490751,7953,1275,Delivered
2176294,68492000,17907,4959,Delivered
2176299,68490898,28165,1913,Delivered
2176301,68490264,17289,5834,Delivered
2176302,68475901,20495,1909,Delivered
2176303,68461493,0,4793,Cancelled
2176304,68493359,2490,2639,Delivered
2176307,68490127,731,1847,Delivered
2176308,68494786,15231,1081,Delivered
2176309,68482035,7953,787,Delivered
2176311,68467601,0,1970,Cancelled
2176312,68494630,1113,2383,Delivered
2176460,68505432,0,4087,Cancelled
2176560,68513328,0,2959,Cancelled
2177142,68546001,0,4135,Cancelled
2177403,68543493,0,2997,Cancelled
2177512,68543487,0,2789,Cancelled
2177725,68409030,0,1723,Cancelled
2177836,68520909,0,1867,Cancelled
2177841,68607650,30299,2204,Delivered
2177845,68526219,0,983,Cancelled
2177850,68534730,0,2024,Cancelled
2177851,68553767,0,1727,Cancelled
2177853,68549082,0,1112,Cancelled
2177854,68534930,0,1599,Cancelled
2177856,68549390,0,2553,Cancelled
2177857,68551823,0,1848,Cancelled
2177858,68541900,0,1229,Cancelled
2177859,68539206,0,545,Cancelled
2177861,68539589,0,1892,Cancelled
2177863,68518213,0,1802,Cancelled
2177872,68608777,20500,3255,Delivered
